Harga,Lokasi,Kamar_Tidur,Kamar_Mandi,Luas_Tanah,Luas_Bangunan,Kondisi
"Rp 1,5 Miliar","Bekasi Selatan, Kota Bekasi",3,2,75,70,Second
Rp 235 Juta,"Bojong Gede (Bojonggede), Kab. Bogor",2,1,50,30,Baru
"Rp 1,1 Miliar","Jatisampurna (Jati Sampurna), Kota Bekasi",4,3,73,120,Second
"Rp 6,39 Miliar - Rp 10,6 Miliar","Pagedangan, Kab. Tangerang",4,3,162 - 250,209 - 342,Baru
Rp 800 Juta,"Ciracas, Kota Jakarta Timur",3,3,88,125,Second
"Rp 750 Juta - Rp 2,4 Miliar","Gunung Sindur, Kab. Bogor",3,2,60 - 80,80 - 90,Baru
Rp 750 Juta,"Jatiasih, Kota Bekasi",3,2,LB 48,0,Second
"Rp 545 Juta - Rp 731,5 Juta","Mandalajati, Kota Bandung",2,1,60,40,Baru
Rp 620 Juta,"Jatiasih, Kota Bekasi",3,2,66,55,Second
"Rp 985,5 Juta - Rp 1,4 Miliar","Limo, Kota Depok",3,2,52,84,Tidak diketahui
"Rp 6,25 Miliar","Sukasari, Kota Bandung",8,8,685,800,Second
Rp 395 Juta - Rp 520 Juta,"Bekasi Timur, Kota Bekasi",2,1,60,36,Baru
"Rp 637,36 Juta","Cempaka Putih, Kota Jakarta Pusat",2,2,27,43,Second
"Rp 825 Juta - Rp 1,7 Miliar","Bojongsari, Kota Depok",3,2,60 - 120,50 - 100,Baru
"Rp 6,7 Miliar","Kebayoran Lama, Kota Jakarta Selatan",4,3,160,200,Second
Rp 697 Juta - Rp 935 Juta,"Sawangan, Kota Depok",3,2,60,73,Baru
Rp 995 Juta,"Jatisampurna (Jati Sampurna), Kota Bekasi",2,LT 79 m²,LB 80,0,Second
"Rp 776 Juta - Rp 928,7 Juta","Jatiasih, Kota Bekasi",2,2,50,48,Baru
"Rp 5,4 Miliar","Ciledug, Kota Tangerang",8,3,950,0,Second
"Rp 514,5 Juta - Rp 820,6 Juta","Tambun Selatan, Kab. Bekasi",2,1-2,39 - 68,42 - 54,Baru
Rp 250 Juta,"Tajurhalang, Kab. Bogor",2,1,26,66,Second
"Rp 995 Juta - Rp 1,12 Miliar","Limo, Kota Depok",3,2,60,75,Baru
"Rp 6,5 Miliar","Kelapa Gading, Kota Jakarta Utara",5,5,323,400,Second
Rp 700 Juta - Rp 860 Juta,"Cilodong, Kota Depok",2,1,72,45,Baru
Rp 500 Juta,"Jonggol, Kab. Bogor",3,1,LB 38,0,Second
Rp 639 Juta - Rp 700 Juta,"Cilodong, Kota Depok",3,2,42,50,Baru
Rp 400 Juta,"Gondangrejo, Kab. Karanganyar",2,1,88,55,Second
Rp 475 Juta - Rp 930 Juta,"Babelan, Kab. Bekasi",2-3,1-2,60 - 78,36 - 90,Baru
Rp 700 Juta,"Waru, Kab. Sidoarjo",2,1,91,39,Second
"Rp 707 Juta - Rp 1,18 Miliar","Rancaekek, Kab. Bandung",2,1,79 - 90,36 - 45,Baru
Rp 750 Juta,"Cipayung, Kota Depok",3,2,50,72,Second
Rp 685 Juta,"Cipayung, Kota Depok",3,2,60,50,Baru
"Rp 2,4 Miliar","Cilandak, Kota Jakarta Selatan",5,2,117,125,Second
"Rp 790 Juta - Rp 1,15 Miliar","Mandalajati, Kota Bandung",3-4,2-3,73 - 103,60 - 85,Baru
Rp 695 Juta,"Bekasi Utara, Kota Bekasi",3,1,95,70,Second
Rp 325 Juta - Rp 355 Juta,"Pameungpeuk, Kab. Bandung",1-2,1,35 - 72,21 - 50,Baru
Rp 450 Juta,"Buahbatu (Margacinta), Kota Bandung",3,2,120,80,Second
Rp 524 Juta - Rp 543 Juta,"Baki, Kab. Sukoharjo",2,1,95,50,Baru
"Rp 1,7 Miliar","Jatiasih, Kota Bekasi",4,3,110,200,Second
"Rp 1,68 Miliar - Rp 4,56 Miliar","Benda, Kota Tangerang",3-4,1-2,100 - 160,69 - 168,Baru
Rp 50 Juta,"Babelan, Kab. Bekasi",2,1,42,72,Second
Rp 365 Juta - Rp 799 Juta,"Kartasura, Kab. Sukoharjo",2,1,60 - 76,30 - 45,Baru
"Rp 2,4 Miliar","Serpong, Kota Tangerang Selatan",4,3,98,133,Second
Rp 350 Juta - Rp 500 Juta,"Gondangrejo, Kab. Karanganyar",2-3,1-2,60 - 77,43 - 63,Baru
"Rp 1,33 Miliar","Cisauk, Kab. Tangerang",3,3,84,0,Second
"Rp 1,2 Miliar - Rp 2,4 Miliar","Babakan Madang, Kab. Bogor",3,3,58,95,Baru
Rp 380 Juta,"Pancoran Mas, Kota Depok",2,1,LB 40,0,Second
"Rp 648 Juta - Rp 655,2 Juta","Ciomas, Kab. Bogor",2-3,1-2,60,36 - 65,Baru
Rp 480 Juta,"Bantargebang (Bantar Gebang), Kota Bekasi",2,1,150,120,Second
"Rp 865 Juta - Rp 1,49 Miliar","Ciracas, Kota Jakarta Timur",3,2,49 - 61,40 - 67,Baru
"Rp 1,41 Miliar","Serpong, Kota Tangerang Selatan",3,2,60,75,Second
Rp 480 Juta,"Tambun Utara, Kab. Bekasi",2,1,65,40,Baru
"Rp 1,19 Miliar","Cempaka Putih, Kota Jakarta Pusat",3,3,34,66,Second
"Rp 591 Juta - Rp 865,2 Juta","Mustikajaya (Mustika Jaya), Kota Bekasi",2,1,63,38,Baru
Rp 675 Juta,"Batujajar, Kab. Bandung Barat",3,2,60,68,Second
"Rp 1,3 Miliar - Rp 2,9 Miliar","Limo, Kota Depok",0,0,0,0,Baru
"Rp 1,2 Miliar","Sukaraja, Kab. Bogor",3,3,135,0,Second
"Rp 593 Juta - Rp 1,07 Miliar","Ciomas, Kab. Bogor",2,1,52 - 60,36 - 65,Baru
"Rp 6,4 Miliar","Duren Sawit, Kota Jakarta Timur",4,4,120,223,Second
"Rp 593 Juta - Rp 1,07 Miliar","Ciomas, Kab. Bogor",2,1,52 - 60,36 - 65,Baru
Rp 190 Juta,"Katapang, Kab. Bandung",2,1,50,35,Second
Rp 555 Juta - Rp 759 Juta,"Sawangan, Kota Depok",2-3,2,40 - 60,43 - 64,Baru
"Rp 7,95 Miliar","Ciracas, Kota Jakarta Timur",3,2,850,122,Second
"Rp 1,45 Miliar","Ciputat, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 585 Juta,"Jatiasih, Kota Bekasi",2,1,60,40,Second
"Rp 1,1 Miliar - Rp 1,5 Miliar","Bojongsari, Kota Depok",0,0,0,0,Baru
"Rp 5,5 Miliar","Kembangan, Kota Jakarta Barat",5,2,350,400,Second
Rp 600 Juta - Rp 1 Miliar,"Cikarang Pusat, Kab. Bekasi",0,0,0,0,Baru
"Rp 2,5 Miliar","Grogol Petamburan, Kota Jakarta Barat",4,4,79,165,Second
Rp 279 Juta - Rp 650 Juta,"Cerme, Kab. Gresik",1-2,1,60 - 72,22 - 38,Baru
Rp 560 Juta,"Manggala, Kota Makassar",3,2,90,60,Second
Rp 585 Juta - Rp 1 Miliar,"Pamulang, Kota Tangerang Selatan",2-3,1-2,60 - 84,45 - 84,Baru
Rp 587 Juta,"Rungkut, Kota Surabaya",3,2,32,55,Second
"Rp 648 Juta - Rp 655,2 Juta","Ciomas, Kab. Bogor",2-3,1-2,60 - 61,36 - 65,Baru
Rp 240 Juta,"Katapang, Kab. Bandung",2,1,70,50,Second
Rp 585 Juta - Rp 687 Juta,"Cilodong, Kota Depok",3,2,42 - 54,50 - 54,Baru
"Rp 3,4 Miliar","Duren Sawit, Kota Jakarta Timur",6,3,180,320,Second
Rp 326 Juta,"Bontomarannu, Kab. Gowa",0,0,0,0,Baru
"Rp 1,8 Miliar","Pondok Aren, Kota Tangerang Selatan",4,3,60,130,Second
Rp 326 Juta,"Bontomarannu, Kab. Gowa",0,0,0,0,Baru
Rp 220 Juta,"Katapang, Kab. Bandung",2,1,60,40,Second
Rp 173 Juta,"Pattalasang (Pattallassang), Kab. Gowa",0,0,0,0,Baru
Rp 6 Miliar,"Kelapa Gading, Kota Jakarta Utara",3,LT 240 m²,LB 310,0,Second
Rp 850 Juta - Rp 920 Juta,"Beji, Kota Depok",0,0,0,0,Baru
Rp 335 Juta,"Babakancikao, Kab. Purwakarta",2,1,77,45,Second
Rp 200 Juta - Rp 400 Juta,"Pandak, Kab. Bantul",0,0,0,0,Baru
Rp 160 Juta,"Katapang, Kab. Bandung",2,1,50,30,Second
Rp 200 Juta - Rp 400 Juta,"Pandak, Kab. Bantul",0,0,0,0,Baru
Rp 900 Juta,"Cikarang Pusat, Kab. Bekasi",3,1,119,75,Second
Rp 360 Juta,"Pandak, Kab. Bantul",0,0,0,0,Baru
"Rp 1,95 Miliar","Jagakarsa, Kota Jakarta Selatan",3,4,127,150,Second
Rp 395 Juta - Rp 572 Juta,"Setu, Kab. Bekasi",2,1,60,36,Baru
"Rp 1,6 Miliar","Kras, Kab. Kediri",3,2,LB 106,0,Second
Rp 500 Juta - Rp 650 Juta,"Cibitung, Kab. Bekasi",0,0,0,0,Baru
"Rp 3,3 Miliar","Rungkut, Kota Surabaya",3,LT 190 m²,LB 200,0,Second
"Rp 704 Juta - Rp 776,5 Juta","Cilodong, Kota Depok",0,0,0,0,Baru
"Rp 2,5 Miliar","Rungkut, Kota Surabaya",4,2,200,140,Second
Rp 685 Juta,"Mlati, Kab. Sleman",0,0,0,0,Baru
"Rp 4,9 Miliar","Blimbing, Kota Malang",5,LT 300 m²,LB 500,0,Second
Rp 173 Juta,"Pattalasang (Pattallassang), Kab. Gowa",0,0,0,0,Baru
"Rp 7,7 Miliar","Duren Sawit, Kota Jakarta Timur",4,4,176,317,Second
Rp 326 Juta,"Bontomarannu, Kab. Gowa",0,0,0,0,Baru
Rp 385 Juta,"Wiradesa, Kab. Pekalongan",2,3,115,115,Second
Rp 170 Juta - Rp 173 Juta,"Pattalasang (Pattallassang), Kab. Gowa",0,0,0,0,Baru
Rp 870 Juta,"Cikupa, Kab. Tangerang",3,2,72,66,Second
Rp 326 Juta - Rp 362 Juta,"Bontomarannu, Kab. Gowa",0,0,0,0,Baru
"Rp 2,1 Miliar","Gunung Putri, Kab. Bogor",4,4,96,86,Second
"Rp 1,99 Miliar - Rp 2 Miliar","Cikarang Selatan, Kab. Bekasi",0,0,0,0,Baru
"Rp 17,5 Miliar","Cilandak, Kota Jakarta Selatan",7,6,750,550,Second
"Rp 1,99 Miliar - Rp 2 Miliar","Cikarang Selatan, Kab. Bekasi",0,0,0,0,Baru
Rp 13 Miliar,"Cilandak, Kota Jakarta Selatan",5,5,446,390,Second
"Rp 1 Miliar - Rp 1,13 Miliar","Cikarang Selatan, Kab. Bekasi",0,0,0,0,Baru
"Rp 1,7 Miliar","Jatisampurna (Jati Sampurna), Kota Bekasi",6,4,360,250,Second
"Rp 1,5 Miliar","Cikarang Selatan, Kab. Bekasi",0,0,0,0,Baru
"Rp 2,6 Miliar","Kelapa Gading, Kota Jakarta Utara",4,3,102,200,Second
"Rp 2,5 Miliar","Cikarang Selatan, Kab. Bekasi",0,0,0,0,Baru
"Rp 3,2 Miliar","Serpong Utara, Kota Tangerang Selatan",4,2,180,0,Second
"Rp 2,1 Miliar - Rp 2,2 Miliar","Cikarang Selatan, Kab. Bekasi",0,0,0,0,Baru
"Rp 4,2 Miliar","Kelapa Gading, Kota Jakarta Utara",5,3,135,270,Second
"Rp 1,77 Miliar","Cikarang Selatan, Kab. Bekasi",0,0,0,0,Baru
"Rp 2,4 Miliar","Sawah Besar, Kota Jakarta Pusat",4,4,140,0,Second
Rp 173 Juta,"Pattalasang (Pattallassang), Kab. Gowa",0,0,0,0,Baru
Rp 875 Juta,"Ciputat, Kota Tangerang Selatan",2,1,93,0,Second
Rp 173 Juta,"Pattalasang (Pattallassang), Kab. Gowa",0,0,0,0,Baru
Rp 699 Juta,"Tapos, Kota Depok",2,2,80,45,Second
"Rp 2 Miliar - Rp 2,1 Miliar","Cikarang Selatan, Kab. Bekasi",0,0,0,0,Baru
"Rp 1,88 Miliar","Pondokgede (Pondok Gede), Kota Bekasi",3,3,98,140,Second
"Rp 2 Miliar - Rp 2,1 Miliar","Cikarang Selatan, Kab. Bekasi",0,0,0,0,Baru
Rp 705 Juta,"Bogor Barat, Kota Bogor",3,3,170,140,Second
Rp 173 Juta,"Pattalasang (Pattallassang), Kab. Gowa",0,0,0,0,Baru
Rp 925 Juta,"Kuranji, Kota Padang",5,3,193,170,Second
Rp 870 Juta - Rp 1 Miliar,"Bojongsari, Kota Depok",0,0,0,0,Baru
Rp 835 Juta,"Rungkut, Kota Surabaya",3,1,100,75,Second
"Rp 1,07 Miliar - Rp 1,35 Miliar","Bojongsari, Kota Depok",0,0,0,0,Baru
Rp 927 Juta,"Cibinong, Kab. Bogor",3,2,120,75,Second
"Rp 223,7 Juta - Rp 941,2 Juta","Jambe, Kab. Tangerang",2-3,1,60 - 96,22 - 52,Baru
"Rp 1,05 Miliar","Bekasi Barat, Kota Bekasi",2,2,90,119,Second
"Rp 866,25 Juta","Bojongsari, Kota Depok",0,0,0,0,Baru
"Rp 1,3 Miliar","Biringkanaya (Biring Kanaya), Kota Makassar",2,2,86,96,Second
Rp 950 Juta,"Serpong, Kota Tangerang Selatan",0,0,0,0,Baru
"Rp 19,5 Miliar","Pasar Minggu, Kota Jakarta Selatan",8,7,673,520,Second
Rp 565 Juta,"Cibinong, Kab. Bogor",0,0,0,0,Baru
"Rp 2,95 Miliar","Cakung, Kota Jakarta Timur",5,4,314,348,Second
Rp 500 Juta - Rp 700 Juta,"Bogor Selatan, Kota Bogor",0,0,0,0,Baru
Rp 700 Juta,"Setu, Kota Tangerang Selatan",2,1,75,0,Second
Rp 500 Juta - Rp 650 Juta,"Sawangan, Kota Depok",0,0,0,0,Baru
"Rp 2,4 Miliar","Rawalumbu, Kota Bekasi",4,4,201,158,Second
Rp 300 Juta - Rp 536 Juta,"Setu, Kab. Bekasi",0,0,0,0,Baru
Rp 38 Miliar,"Kebayoran Baru, Kota Jakarta Selatan",7,5,550,350,Second
Rp 450 Juta,"Tajurhalang, Kab. Bogor",0,0,0,0,Baru
"Rp 1,35 Miliar","Ciledug, Kota Tangerang",3,2,60,120,Second
Rp 383 Juta - Rp 385 Juta,"Tajurhalang, Kab. Bogor",0,0,0,0,Baru
"Rp 1,65 Miliar","Makasar, Kota Jakarta Timur",3,2,90,150,Second
"Rp 2,04 Miliar - Rp 2,32 Miliar","Pamulang, Kota Tangerang Selatan",0,0,0,0,Baru
"Rp 4,8 Miliar","Bandung Kidul, Kota Bandung",4,4,LB 300,0,Second
"Rp 6 Miliar - Rp 13,5 Miliar","Pagedangan, Kab. Tangerang",0,0,0,0,Baru
"Rp 2,5 Miliar","Cikarang Pusat, Kab. Bekasi",7,4,LB 180,0,Second
Rp 420 Juta,"Cikarang Selatan, Kab. Bekasi",0,0,0,0,Baru
Rp 450 Juta,"Cipayung, Kota Depok",2,1,76,45,Second
Rp 593 Juta,"Cikarang Selatan, Kab. Bekasi",0,0,0,0,Baru
Rp 490 Juta,"Rungkut, Kota Surabaya",1,LT 60 m²,LB 45,0,Second
Rp 921 Juta,"Cikarang Selatan, Kab. Bekasi",0,0,0,0,Baru
"Rp 1,8 Miliar","Jatisampurna (Jati Sampurna), Kota Bekasi",3,2,90,86,Second
Rp 921 Juta,"Cikarang Selatan, Kab. Bekasi",0,0,0,0,Baru
Rp 500 Juta,"Tangerang, Kota Tangerang",1,LT 42 m²,LB 40,0,Second
Rp 685 Juta,"Cikarang Selatan, Kab. Bekasi",0,0,0,0,Baru
"Rp 5,5 Miliar","Pagedangan, Kab. Tangerang",4,4,200,0,Second
Rp 685 Juta,"Cikarang Selatan, Kab. Bekasi",0,0,0,0,Baru
"Rp 686,6 Juta","Cibinong, Kab. Bogor",1,LT 78 m²,LB 55,0,Second
Rp 303 Juta,"Cikarang Selatan, Kab. Bekasi",0,0,0,0,Baru
Rp 400 Juta,"Serpong, Kota Tangerang Selatan",2,1,LB 36,0,Second
Rp 303 Juta,"Cikarang Selatan, Kab. Bekasi",0,0,0,0,Baru
Rp 970 Juta,"Ciputat, Kota Tangerang Selatan",3,2,70,60,Second
Rp 759 Juta,"Cikarang Selatan, Kab. Bekasi",0,0,0,0,Baru
"Rp 2,55 Miliar","Serpong, Kota Tangerang Selatan",4,3,130,250,Second
Rp 600 Juta - Rp 670 Juta,"Karang Bahagia (Karangbahagia), Kab. Bekasi",0,0,0,0,Baru
"Rp 5,8 Miliar","Sambikerep, Kota Surabaya",5,4,250,200,Second
Rp 500 Juta - Rp 590 Juta,"Karang Bahagia (Karangbahagia), Kab. Bekasi",0,0,0,0,Baru
"Rp 1,85 Miliar","Kalideres, Kota Jakarta Barat",3,2,75,90,Second
Rp 4 Miliar - Rp 9 Miliar,"Pagedangan, Kab. Tangerang",0,0,0,0,Baru
"Rp 1,49 Miliar","Batam Kota, Kota Batam",3,LT 105 m²,LB 90,0,Second
Rp 489 Juta - Rp 580 Juta,"Karang Bahagia (Karangbahagia), Kab. Bekasi",0,0,0,0,Baru
"Rp 1,85 Miliar","Cakung, Kota Jakarta Timur",4,4,LB 150,0,Second
Rp 4 Miliar - Rp 9 Miliar,"Pagedangan, Kab. Tangerang",0,0,0,0,Baru
"Rp 1,4 Miliar","Tarumajaya, Kab. Bekasi",2,2,75,108,Second
"Rp 2,7 Miliar - Rp 3 Miliar","Kebon Jeruk, Kota Jakarta Barat",0,0,0,0,Baru
"Rp 5,3 Miliar","Cakung, Kota Jakarta Timur",5,5,135,203,Second
Rp 500 Juta - Rp 590 Juta,"Karang Bahagia (Karangbahagia), Kab. Bekasi",0,0,0,0,Baru
Rp 4 Miliar,"Cengkareng, Kota Jakarta Barat",5,6,230,135,Second
Rp 489 Juta - Rp 590 Juta,"Karang Bahagia (Karangbahagia), Kab. Bekasi",0,0,0,0,Baru
"Rp 1,7 Miliar","Margaasih, Kab. Bandung",3,2,104,110,Second
Rp 600 Juta - Rp 670 Juta,"Karang Bahagia (Karangbahagia), Kab. Bekasi",0,0,0,0,Baru
"Rp 19,5 Miliar","Pasar Minggu, Kota Jakarta Selatan",6,6,673,580,Second
"Rp 3,6 Miliar - Rp 6,79 Miliar","Mampang Prapatan, Kota Jakarta Selatan",0,0,0,0,Baru
Rp 16 Miliar,"Cilandak, Kota Jakarta Selatan",6,4,412,400,Second
Rp 290 Juta - Rp 400 Juta,"Ciseeng, Kab. Bogor",0,0,0,0,Baru
Rp 100 Miliar,"Kebayoran Baru, Kota Jakarta Selatan",3,3,984,600,Second
"Rp 1,06 Miliar - Rp 1,42 Miliar","Kalideres, Kota Jakarta Barat",2-3,1-2,25 - 36,63 - 76,Baru
"Rp 5,95 Miliar","Cilandak, Kota Jakarta Selatan",5,5,155,300,Second
Rp 800 Juta - Rp 900 Juta,"Bojongsari, Kota Depok",0,0,0,0,Baru
"Rp 4,2 Miliar","Waru, Kab. Sidoarjo",5,LT 300 m²,LB 500,0,Second
"Rp 865 Juta - Rp 1,5 Miliar","Ciracas, Kota Jakarta Timur",0,0,0,0,Baru
"Rp 2,9 Miliar","Cakung, Kota Jakarta Timur",5,3,238,3.300,Second
Rp 422 Juta,"Bojong Gede (Bojonggede), Kab. Bogor",2,1,84,36,Baru
"Rp 2,75 Miliar","Kelapa Dua, Kab. Tangerang",4,3,126,135,Second
Rp 240 Juta - Rp 285 Juta,"Kedamean, Kab. Gresik",2,1,60,30,Baru
"Rp 3,7 Miliar","Tarumajaya, Kab. Bekasi",3,3,200,0,Second
Rp 599 Juta - Rp 869 Juta,"Sawangan, Kota Depok",0,0,0,0,Baru
"Rp 4,25 Miliar","Wonocolo, Kota Surabaya",4,3,400,400,Second
Rp 166 Juta,"Sukahaji, Kab. Majalengka",0,0,0,0,Baru
Rp 4 Miliar,"Pulogadung (Pulo Gadung), Kota Jakarta Timur",3,3,90,150,Second
"Rp 1,67 Miliar - Rp 2,12 Miliar","Limo, Kota Depok",3-4,3,65 - 98,105 - 124,Baru
Rp 400 Juta,"Setu, Kab. Bekasi",2,1,60,40,Second
Rp 325 Juta - Rp 425 Juta,"Pameungpeuk, Kab. Bandung",2,1,60 - 75,40 - 45,Baru
"Rp 2,5 Miliar","Kembangan, Kota Jakarta Barat",4,3,125,180,Second
Rp 441 Juta - Rp 579 Juta,"Mustikajaya (Mustika Jaya), Kota Bekasi",2-3,1-2,60,36 - 45,Baru
"Rp 4,9 Miliar","Kembangan, Kota Jakarta Barat",5,4,200,340,Second
"Rp 866,29 Juta - Rp 999 Juta","Rawalumbu, Kota Bekasi",0,0,0,0,Baru
"Rp 5,9 Miliar","Kebayoran Lama, Kota Jakarta Selatan",5,4,122,220,Second
Rp 395 Juta - Rp 460 Juta,"Cipayung, Kota Depok",0,0,0,0,Baru
Rp 400 Juta,"Cilodong, Kota Depok",2,1,LB 40,0,Second
Rp 759 Juta - Rp 890 Juta,"Jatiasih, Kota Bekasi",0,0,0,0,Baru
"Rp 9,5 Miliar","Cinere, Kota Depok",4,5,600,387,Second
Rp 480 Juta,"Tambun Utara, Kab. Bekasi",0,0,0,0,Baru
Rp 675 Juta,"Pamulang, Kota Tangerang Selatan",3,2,60,40,Second
Rp 576 Juta - Rp 666 Juta,"Bogor Selatan, Kota Bogor",2,2,42,48,Baru
"Rp 1,5 Miliar","Setu, Kota Tangerang Selatan",2,1,120,100,Second
Rp 485 Juta - Rp 490 Juta,"Pengasih, Kab. Kulon Progo",0,0,0,0,Baru
"Rp 5,5 Miliar","Pasar Minggu, Kota Jakarta Selatan",5,4,175,250,Second
"Rp 206,46 Juta - Rp 956,39 Juta","Cibitung, Kab. Bekasi",0,0,0,0,Baru
"Rp 5,5 Miliar","Waru, Kab. Sidoarjo",6,3,726,400,Second
Rp 180 Juta - Rp 185 Juta,"Cisoka, Kab. Tangerang",0,0,0,0,Baru
Rp 300 Juta,"Cikole, Kota Sukabumi",2,1,72,72,Second
Rp 180 Juta - Rp 185 Juta,"Cisoka, Kab. Tangerang",0,0,0,0,Baru
Rp 495 Juta,"Jagakarsa, Kota Jakarta Selatan",2,1,46,50,Second
Rp 185 Juta - Rp 200 Juta,"Cisoka, Kab. Tangerang",0,0,0,0,Baru
"Rp 1,5 Miliar","Bojongloa Kidul, Kota Bandung",4,3,114,120,Second
Rp 185 Juta - Rp 190 Juta,"Cisoka, Kab. Tangerang",0,0,0,0,Baru
Rp 540 Juta,"Bekasi Utara, Kota Bekasi",2,1,60,50,Second
Rp 185 Juta - Rp 442 Juta,"Cisoka, Kab. Tangerang",0,0,0,0,Baru
"Rp 2,85 Miliar","Cakung, Kota Jakarta Timur",4,4,98,115,Second
"Rp 825 Juta - Rp 1,65 Miliar","Karang Tengah, Kota Tangerang",2,2,74 - 120,45 - 105,Baru
"Rp 2,6 Miliar","Kiaracondong, Kota Bandung",8,3,300,280,Second
Rp 180 Juta - Rp 185 Juta,"Cisoka, Kab. Tangerang",0,0,0,0,Baru
Rp 675 Juta,"Bekasi Utara, Kota Bekasi",3,2,90,75,Second
"Rp 408,72 Juta - Rp 481,74 Juta","Parongpong, Kab. Bandung Barat",0,0,0,0,Baru
"Rp 12,5 Miliar","Banjarnegara, Kab. Banjarnegara",4,2,2.476,410,Second
"Rp 697,86 Juta","Margaasih, Kab. Bandung",0,0,0,0,Baru
Rp 670 Juta,"Medansatria (Medan Satria), Kota Bekasi",3,1,90,80,Second
"Rp 697,86 Juta - Rp 1,2 Miliar","Margaasih, Kab. Bandung",0,0,0,0,Baru
"Rp 5,5 Miliar","Klojen, Kota Malang",7,4,393,0,Second
"Rp 697,86 Juta - Rp 1,2 Miliar","Margaasih, Kab. Bandung",0,0,0,0,Baru
Rp 900 Juta,"Cileunyi, Kab. Bandung",2,1,102,60,Second
"Rp 697,86 Juta - Rp 1,2 Miliar","Margaasih, Kab. Bandung",0,0,0,0,Baru
Rp 900 Juta,"Parung, Kab. Bogor",3,2,72,47,Second
"Rp 697,86 Juta - Rp 1,2 Miliar","Margaasih, Kab. Bandung",0,0,0,0,Baru
Rp 285 Juta,"Cikarang Utara, Kab. Bekasi",2,2,72,62,Second
Rp 775 Juta - Rp 805 Juta,"Beji, Kota Depok",0,0,0,0,Baru
"Rp 3,6 Miliar","Cibinong, Kab. Bogor",8,6,745,408,Second
"Rp 900 Juta - Rp 1,1 Miliar","Grogol Petamburan, Kota Jakarta Barat",0,0,0,0,Baru
Rp 8 Miliar,"Tawangmangu, Kab. Karanganyar",4,2,LB 300,0,Second
"Rp 416 Juta - Rp 1,76 Miliar","Cipayung, Kota Jakarta Timur",0,0,0,0,Baru
Rp 400 Juta,"Dramaga, Kab. Bogor",2,1,72,35,Second
Rp 405 Juta - Rp 629 Juta,"Mustikajaya (Mustika Jaya), Kota Bekasi",0,0,0,0,Baru
Rp 430 Juta,"Bantargebang (Bantar Gebang), Kota Bekasi",2,1,70,38,Second
Rp 283 Juta - Rp 585 Juta,"Babakan Madang, Kab. Bogor",0,0,0,0,Baru
Rp 620 Juta,"Bojongsari, Kota Depok",2,1,75,45,Second
Rp 605 Juta - Rp 657 Juta,"Cilodong, Kota Depok",0,0,0,0,Baru
Rp 850 Juta,"Tanah Sareal (Tanah Sereal), Kota Bogor",3,2,130,96,Second
Rp 180 Juta - Rp 185 Juta,"Cisoka, Kab. Tangerang",0,0,0,0,Baru
"Rp 1,3 Miliar","Ciputat Timur, Kota Tangerang Selatan",4,2,115,140,Second
Rp 600 Juta - Rp 670 Juta,"Karang Bahagia (Karangbahagia), Kab. Bekasi",0,0,0,0,Baru
Rp 900 Juta,"Candi, Kab. Sidoarjo",3,2,135,280,Second
Rp 500 Juta - Rp 590 Juta,"Karang Bahagia (Karangbahagia), Kab. Bekasi",0,0,0,0,Baru
Rp 660 Juta,"Pondokgede (Pondok Gede), Kota Bekasi",2,1,62,42,Second
Rp 489 Juta - Rp 600 Juta,"Karang Bahagia (Karangbahagia), Kab. Bekasi",0,0,0,0,Baru
Rp 970 Juta,"Ciputat, Kota Tangerang Selatan",3,2,60,70,Second
"Rp 2,28 Miliar - Rp 3,09 Miliar","Pondokgede (Pondok Gede), Kota Bekasi",0,0,0,0,Baru
Rp 399 Juta,"Purwokerto Barat, Kab. Banyumas",2,1,87,48,Second
"Rp 1,48 Miliar - Rp 1,84 Miliar","Beji, Kota Depok",0,0,0,0,Baru
Rp 30 Miliar,"Pulogadung (Pulo Gadung), Kota Jakarta Timur",8,4,1.057,557,Second
"Rp 2,5 Miliar - Rp 2,75 Miliar","Cimenyan (Cimeunyan), Kab. Bandung",0,0,0,0,Baru
Rp 225 Juta,"Tasikmadu, Kab. Karanganyar",1,LT 62 m²,LB 40,0,Second
Rp 500 Juta - Rp 900 Juta,"Caringin, Kab. Bogor",0,0,0,0,Baru
"Rp 3,2 Miliar","Cisarua, Kab. Bogor",5,5,945,400,Second
"Rp 1,2 Miliar","Limo, Kota Depok",3,2,109,64,Baru
"Rp 9,5 Miliar","Cibeunying Kaler, Kota Bandung",27,27,756,950,Second
Rp 500 Juta - Rp 525 Juta,"Seyegan, Kab. Sleman",0,0,0,0,Baru
"Rp 2,3 Miliar","Tanah Sareal (Tanah Sereal), Kota Bogor",5,4,340,240,Second
"Rp 395 Juta - Rp 598,8 Juta","Ungaran Timur, Kab. Semarang",0,0,0,0,Baru
"Rp 17,5 Miliar","Pasar Minggu, Kota Jakarta Selatan",5,5,397,700,Second
Rp 166 Juta - Rp 210 Juta,"Parungkuda (Parung Kuda), Kab. Sukabumi",0,0,0,0,Baru
Rp 795 Juta,"Pancoran Mas, Kota Depok",3,2,60,55,Second
"Rp 1,5 Miliar - Rp 1,9 Miliar","Batu, Kota Batu",0,0,0,0,Baru
"Rp 2,3 Miliar","Pademangan, Kota Jakarta Utara",5,5,90,315,Second
