Harga,Lokasi,Kamar_Tidur,Kamar_Mandi,Luas_Tanah,Luas_Bangunan,Kondisi
"Rp 1,5 Miliar","Cicendo, Kota Bandung",2,1,72,54,Second
Rp 250 Juta - Rp 290 Juta,"Sukawangi, Kab. Bekasi",2,1,50 - 60,30 - 36,Baru
Rp 900 Juta,"Pondok Aren, Kota Tangerang Selatan",3,2,126,80,Second
"Rp 1,45 Miliar - Rp 1,85 Miliar","Jagakarsa, Kota Jakarta Selatan",3,2,61,85,Baru
"Rp 1,3 Miliar","Mustikajaya (Mustika Jaya), Kota Bekasi",4,2,144,144,Second
Rp 166 Juta,"Cipocok Jaya, Kota Serang",2,1,60,30,Baru
Rp 625 Juta,"Pamulang, Kota Tangerang Selatan",2,1,62,55,Second
Rp 850 Juta - Rp 1 Miliar,"Bogor Barat, Kota Bogor",0,0,0,0,Baru
"Rp 1,6 Miliar","Pamulang, Kota Tangerang Selatan",3,2,90,189,Second
"Rp 1,45 Miliar - Rp 1,65 Miliar","Pamulang, Kota Tangerang Selatan",4,3,71 - 76,113 - 130,Baru
"Rp 2,7 Miliar","Duren Sawit, Kota Jakarta Timur",3,3,LB 160,0,Second
"Rp 984 Juta - Rp 1,69 Miliar","Gunung Sindur, Kab. Bogor",3,2,55 - 75,55 - 70,Baru
"Rp 1,6 Miliar","Pulogadung (Pulo Gadung), Kota Jakarta Timur",2,2,48,74,Second
Rp 167 Juta - Rp 172 Juta,"Kasemen, Kota Serang",2,1,60 - 72,30 - 36,Baru
Rp 800 Juta,"Sawangan, Kota Depok",3,2,60,85,Second
"Rp 160,4 Juta - Rp 164 Juta","Kaliwungu Selatan, Kab. Kendal",2,1,60,29,Baru
Rp 280 Juta,"Katapang, Kab. Bandung",2,1,70,45,Second
"Rp 552 Juta - Rp 697,5 Juta","Mandalajati, Kota Bandung",2-3,1-2,68 - 75,36 - 55,Baru
Rp 680 Juta,"Bekasi Barat, Kota Bekasi",2,1,72,0,Second
Rp 450 Juta - Rp 485 Juta,"Tajurhalang, Kab. Bogor",2,1,72,36,Baru
Rp 365 Juta,"Tanah Sareal (Tanah Sereal), Kota Bogor",2,1,88,0,Second
"Rp 1,58 Miliar - Rp 2,44 Miliar","Pamulang, Kota Tangerang Selatan",3,2,60 - 62,61 - 72,Baru
Rp 750 Juta,"Ngamprah, Kab. Bandung Barat",4,3,182,105,Second
"Rp 340,1 Juta - Rp 1,66 Miliar","Sepatan, Kab. Tangerang",2,1,60 - 72,30 - 67,Baru
"Rp 2,75 Miliar","Pasar Minggu, Kota Jakarta Selatan",3,3,93,100,Second
"Rp 523 Juta - Rp 731,5 Juta","Mandalajati, Kota Bandung",2,1,66,40,Baru
